Issuer,"Initial Range","Final Range",Brand,Country
"Checkout SAS",5582264900,5582264999,MasterCard,IRL
"TRIPLINK INTERNATIONAL PTE LTD",5286009789,5286009790,MasterCard,SGP
"VTB Bank (Public Joint-Stock Company)",5487060000,5487069999,MasterCard,RUS
"Peoples Trust Company",5508163000,5508163999,MasterCard,CAN
"Zenith Bank",5422310000,5422319999,MasterCard,NGA
"EURO Kartensysteme GmbH",6729206200,6729206299,MasterCard,DEU
"Shazam Inc.",5152150000,5152150199,MasterCard,USA
"Holvi Payment Services Oy",5551590000,5551590999,MasterCard,FIN
"Banco Azteca de Guatemala S.A.",5100730200,5100730299,MasterCard,GTM
"KB Kookmin Card Co. Ltd",5592460000,5592469999,MasterCard,KOR
"Metropolitan Commercial Bank",5102500060,5102500139,MasterCard,USA
"Jack Henry & Associates",5176170303,5176170303,MasterCard,USA
"Optal Financial Europe Ltd",5137969000,5137969999,MasterCard,GBR
"Deutscher Sparkassen und Giroverband",5156435200,5156435299,MasterCard,DEU
"Jack Henry & Associates",5272190000,5272199999,MasterCard,USA
"Bank of N.T. Butterfield & Son Limited",5314196000,5314196999,MasterCard,CYM
"Fiserv Solutions LLC",5115070000,5115079999,MasterCard,USA
"EURO Kartensysteme GmbH",6727380000,6727389999,MasterCard,DEU
"Community Federal Savings Bank",5280902400,5280902499,MasterCard,USA
"PayrNet Limited",5319970600,5319970999,MasterCard,DEU
"WEX Bank",5552560000,5552569999,MasterCard,USA
"Banco Azteca de Honduras S.A.",5342680500,5342680599,MasterCard,HND
"Advanzia Bank S.A.",5337903000,5337903999,MasterCard,FRA
"HSBC Bank Middle East",5553770000,5553779999,MasterCard,OMN
"Paysafe Financial Services Limited",5391251900,5391251999,MasterCard,LTU
"Fiserv Solutions LLC",5580640000,5580649999,MasterCard,USA
"Finstella Ltd",5540375100,5540375499,MasterCard,LUX
"TripLink International Co.",23460,5365629900,MasterCard,MCC
"Sutton Bank",5557820070,5557820079,MasterCard,USA
"Fifth Third Bank The",5526322300,5526322399,MasterCard,USA
"Dzing Finance LTD",5322377100,5322377149,MasterCard,DEU
"Farmers National Bank of Canfield",5349019200,5349019299,MasterCard,USA
"Peoples Bank",5462210000,5462219999,MasterCard,USA
"BOKF National Association",5103250000,5103259999,MasterCard,USA
"Manufacturers & Traders Trust Company",5563850000,5563858099,MasterCard,USA
"Advanzia Bank S.A.",5303941050,5303941054,MasterCard,LUX
"Transact Payments Limited",5222026520,5222026529,MasterCard,NOR
"Deutscher Sparkassen und Giroverband",5497056200,5497056299,MasterCard,DEU
"Prepaid Financial Services Ltd",5300258100,5300258199,MasterCard,GBR
"Prepaid Financial Services Ltd",5302694200,5302694299,MasterCard,GBR
"Community Federal Savings Bank",5390009700,5390009799,MasterCard,USA
"GECU Federal Credit Union",5276900000,5276909999,MasterCard,USA
"PSA Payment Services Austria GmbH",6701320000,6701329999,MasterCard,AUT
"EURO Kartensysteme GmbH",6729704100,6729704199,MasterCard,DEU
"SWAP Meios de Pagamentos SA",2340669930,2340669930,MasterCard,BRA
"Si Vale Mexico S.A. de C.V.",5241730600,5241730699,MasterCard,MEX
"Transact Payments Limited",5136030400,5136030599,MasterCard,GBR
"Australia and New Zealand Banking Group Limited",5430480000,5430489999,MasterCard,AUS
"Joint Stock Company Asakabank",5555360000,5555361999,MasterCard,UZB
